TiplocCode,StationName,Latitude,Longitude
PENZNCE,Penzance Rail Station,50.12167213935347,-5.532565106266837
STIVES,St Ives (Cornwall) Rail Station,50.20904267408878,-5.477912225686533
CARBISB,Carbis Bay Rail Station,50.197047728037305,-5.463262886211071
STERTH,St Erth Rail Station,50.17048936485472,-5.444251866419148
LELANTS,Lelant Saltings Rail Station,50.17877481953034,-5.4409256213435375
LELANT,Lelant Rail Station,50.18412253348075,-5.436546509304047
HAYLE,Hayle Rail Station,50.185560894076545,-5.41983604830019
CBORNE,Camborne Rail Station,50.21043444188858,-5.297410642074904
ARISAIG,Arisaig Rail Station,56.91254483961433,-5.839077456844248
MLAIG,Mallaig Rail Station,57.00598733622509,-5.829596326044041
MORAR,Morar Rail Station,56.969717358934254,-5.821917478400614
REDRUTH,Redruth Rail Station,50.23325151915573,-5.225915171186038
BEASDAL,Beasdale Rail Station,56.899552276222245,-5.763801259002848
KYLELSH,Kyle of Lochalsh Rail Station,57.27977077250905,-5.713812438862501
LCHALRT,Lochailort Rail Station,56.88096189154272,-5.663394739741167
DUIRNSH,Duirinish Rail Station,57.31997466863124,-5.691315870953646
PRYN,Penryn Rail Station,50.17071097964357,-5.111607263360889
PERANWL,Perranwell Rail Station,50.216577572262224,-5.112069081090064
PLOCKTN,Plockton Rail Station,57.33356325875152,-5.6659986535870015
PENMERE,Penmere Rail Station,50.15032914469889,-5.083192458049223
FALMTHT,Falmouth Town Rail Station,50.148339012328314,-5.064934752619024
DUNCRAG,Duncraig Rail Station,57.337000260145444,-5.637130423461805
NEWQUAY,Newquay Rail Station,50.415093429846316,-5.07565411728229
TRURO,Truro Rail Station,50.26383922063456,-5.064812158659473
FALMTHD,Falmouth Docks Rail Station,50.15070596613314,-5.056027952394593
QNTRLDW,Quintrell Downs Rail Station,50.40405298523924,-5.028491200304086
OBAN,Oban Rail Station,56.412484990525186,-5.473931360896485
STRMFRY,Stromeferry Rail Station,57.35229631455462,-5.551160480072492
GLNFNNN,Glenfinnan Rail Station,56.87240083493468,-5.44961965716609
MLFDHVN,Milford Haven Rail Station,51.7149713559954,-5.040968345352459
STCLMBR,St Columb Road Rail Station,50.39870485759877,-4.940755066193796
CONNELF,Connel Ferry Rail Station,56.45235118745595,-5.3854407318498705
ATADALE,Attadale Rail Station,57.395035108763295,-5.455576859856561
JHNSTND,Johnston (Pembrokeshire) Rail Station,51.756744977257384,-4.996328128029374
STCN,Strathcarron Rail Station,57.42273199878862,-5.428612364229758
FGDHGWK,Fishguard & Goodwick Rail Station,52.004112416140174,-4.994837617827397
FGDHBR,Fishguard Harbour Rail Station,52.011540975792386,-4.985641871422052
HAVRFDW,Haverfordwest Rail Station,51.80263035603367,-4.960203061636128
PEMBRKD,Pembroke Dock Rail Station,51.69391139936136,-4.938047410716613
RCHE,Roche Rail Station,50.41854038399169,-4.830197479402511
PEMBROK,Pembroke Rail Station,51.67294351372217,-4.906022891048272
LCHESDE,Locheilside Rail Station,56.85540546999231,-5.2900362729914665
ACHHSHL,Achnashellach Rail Station,57.48207283553573,-5.3330550716589435
TAYNULT,Taynuilt Rail Station,56.430806288148084,-5.239609794709996
LAMPHEY,Lamphey Rail Station,51.66718483010287,-4.873256168343973
CLARBRD,Clarbeston Road Rail Station,51.85166347456875,-4.883547591270589
STAUSTL,St Austell Rail Station,50.339515281522566,-4.789358731811633
BUGLE,Bugle Rail Station,50.40034694667299,-4.792100066708307
LUXULYN,Luxulyan Rail Station,50.39003363677342,-4.7473837618632375
LCEILOB,Loch Eil Outward Bound Rail Station,56.85526631108346,-5.19157635010005
STRNRR,Stranraer Rail Station,54.90960069908714,-5.024737311317916
MNORBER,Manorbier Rail Station,51.66015648037756,-4.791829935897649
PARR,Par Rail Station,50.355324838303666,-4.704675218549181
FLSCRHN,Falls of Cruachan Rail Station,56.393881531049246,-5.112477539816849
CORPACH,Corpach Rail Station,56.842825447155505,-5.121956322194725
FRTWLM,Fort William Rail Station,56.820442651330346,-5.106143143469113
LSTWTHL,Lostwithiel Rail Station,50.40717606255162,-4.665965644911634
BODMNPW,Bodmin Parkway Rail Station,50.445861006452574,-4.66292822292107
BANAVIE,Banavie Rail Station,56.843306817599824,-5.095425416100904
PNALLY,Penally Rail Station,51.65891772959129,-4.722054921724198
CLYNDRW,Clunderwen Rail Station,51.84053810492414,-4.731841670069914
NRBERTH,Narberth Rail Station,51.79936691446226,-4.727174967243742
LOCHAWE,Loch Awe Rail Station,56.4020146243541,-5.041975206532112
SDRSFOT,Saundersfoot Rail Station,51.72208901128128,-4.716582368784295
KILGETY,Kilgetty Rail Station,51.73210475290038,-4.715155570610197
TENBY,Tenby Rail Station,51.67294312603102,-4.706695815825815
DLMALLY,Dalmally Rail Station,56.40118772689455,-4.983551907676742
ACHNSHN,Achnasheen Rail Station,57.57928825477521,-5.072331969382822
GIRVAN,Girvan Rail Station,55.24631097809945,-4.848381159114704
WEMYSSB,Wemyss Bay Rail Station,55.87614272776528,-4.889079756077432
WHLAND,Whitland Rail Station,51.818028347917355,-4.61439053870474
LARGS,Largs Rail Station,55.792741737472014,-4.867197346829525
INVERKP,Inverkip Rail Station,55.90610293824949,-4.872585988408521
WKILBRD,West Kilbride Rail Station,55.6961535943906,-4.851745398571957
FAIRLIE,Fairlie Rail Station,55.751940885885695,-4.853267258804725
SPEANBD,Spean Bridge Rail Station,56.89001216302799,-4.921606612765406
ARDRSHB,Ardrossan Harbour Rail Station,55.639870722939776,-4.821110224299845
BRRHL,Barrhill Rail Station,55.09700311063125,-4.781780905540245
ARDRSTN,Ardrossan Town Rail Station,55.63970496255601,-4.812675047481691
IBMM,IBM (Greenock) Rail Station,55.92944552895547,-4.827239845731917
ARDRSSB,Ardrossan South Beach Rail Station,55.64141466740681,-4.801211243076681
COOMBE,Coombe Junction Halt (Rail Station),50.4459179296162,-4.481851110978513
GRLCHHD,Garelochhead Rail Station,56.079862582090605,-4.825716303977062
GOUROCK,Gourock Rail Station,55.962317490335465,-4.816657532008264
LISKARD,Liskeard Rail Station,50.44686287007197,-4.469574924453398
HLYH,Holyhead Rail Station,53.3076822207646,-4.631002290613181
CAUSLND,Causeland Rail Station,50.40568857480116,-4.466447723514036
SLCT,Saltcoats Rail Station,55.63388073403013,-4.78429021370103
SDPLACE,Sandplace Rail Station,50.38675143173824,-4.464479829100332
BRNCHTN,Branchton Rail Station,55.940594152334484,-4.803547958899982
STKEYNE,St Keyne Wishing Well Halt (Rail Station),50.42303847387224,-4.463519760409235
LOOE,Looe Rail Station,50.35922362400086,-4.456163606488845
FRTMTLD,Fort Matilda Rail Station,55.9590295774642,-4.795267314613443
ACHANLT,Achanalt Rail Station,57.609594449228375,-4.913851095602445
DRMFCHR,Drumfrochar Rail Station,55.941246186701036,-4.774765887194345
STVNSTN,Stevenston Rail Station,55.63427743667452,-4.750789435393329
ROYBDGE,Roy Bridge Rail Station,56.88836263759904,-4.837241937886818
GRENCKW,Greenock West Rail Station,55.947334758004104,-4.767833037895971
GRENCKC,Greenock Central Rail Station,55.94533843415752,-4.752633825007706
WHINH,Whinhill Rail Station,55.938370071932866,-4.746694197362046
MENHENT,Menheniot Rail Station,50.42622694834769,-4.409222910141376
VALLEY,Valley Rail Station,53.2812828157002,-4.563368686730731
CRTSDYK,Cartsdyke Rail Station,55.94221164193687,-4.731590566515244
KILWNNG,Kilwinning Rail Station,55.655949685301145,-4.7100184652304025
HLNSBRC,Helensburgh Central Rail Station,56.0042066494521,-4.732757667359899
